table_name,row_count,total_size,column_count,index_count,incoming_fks,referenced_by,outgoing_fks,references_tables,total_inserts,total_updates,total_deletes,last_autovacuum,last_analyze,columns
retail_land_plots,0,32 kB,14,3,2,"retail_projects.land_plot_id, retail_sales.land_plot_id",0,null,0,0,0,null,null,"id:uuid, owner_first_name:text, owner_last_name:text, plot_number:text, total_area_m2:numeric, purchased_area_m2:numeric, price_per_m2:numeric, total_price:numeric, payment_date:date, payment_status:text, notes:text, created_at:timestamp with time zone, updated_at:timestamp with time zone, location:text"
retail_project_phases,9,80 kB,12,4,2,"retail_contracts.phase_id, retail_sales.phase_id",1,retail_projects,9,0,0,null,null,"id:uuid, project_id:uuid, phase_name:text, phase_type:text, phase_order:integer, budget_allocated:numeric, status:text, start_date:date, end_date:date, notes:text, created_at:timestamp with time zone, updated_at:timestamp with time zone"
retail_projects,3,64 kB,14,3,2,"accounting_invoices.retail_project_id, retail_project_phases.project_id",1,retail_land_plots,3,0,0,null,null,"id:uuid, name:text, location:text, plot_number:text, total_area_m2:numeric, purchase_price:numeric, price_per_m2:numeric, status:text, start_date:date, end_date:date, notes:text, created_at:timestamp with time zone, updated_at:timestamp with time zone, land_plot_id:uuid"
retail_sales,0,48 kB,15,5,0,null,3,"retail_customers, retail_land_plots, retail_project_phases",0,0,0,null,null,"id:uuid, land_plot_id:uuid, customer_id:uuid, sale_area_m2:numeric, sale_price_per_m2:numeric, total_sale_price:numeric, payment_deadline:date, paid_amount:numeric, remaining_amount:numeric, payment_status:text, contract_number:text, notes:text, created_at:timestamp with time zone, updated_at:timestamp with time zone, phase_id:uuid"
retail_supplier_types,6,48 kB,4,2,1,retail_suppliers.supplier_type_id,0,null,6,0,0,null,null,"id:uuid, name:text, created_at:timestamp with time zone, updated_at:timestamp with time zone"
retail_suppliers,64,48 kB,11,2,2,"accounting_invoices.retail_supplier_id, retail_contracts.supplier_id",1,retail_supplier_types,64,0,0,null,null,"id:uuid, name:text, contact_person:text, contact_phone:text, contact_email:text, oib:text, address:text, notes:text, created_at:timestamp with time zone, updated_at:timestamp with time zone, supplier_type_id:uuid"
sales,3,64 kB,14,3,0,null,2,"apartments, customers",3,0,0,null,null,"id:uuid, apartment_id:uuid, customer_id:uuid, sale_price:numeric, payment_method:text, down_payment:numeric, total_paid:numeric, remaining_amount:numeric, next_payment_date:date, monthly_payment:numeric, sale_date:date, contract_signed:boolean, notes:text, created_at:timestamp with time zone"
subcontractor_comments,0,24 kB,6,2,0,null,2,"subcontractors, users",0,0,0,null,null,"id:uuid, subcontractor_id:uuid, user_id:uuid, comment:text, comment_type:text, created_at:timestamp with time zone"
subcontractor_documents,4,64 kB,8,3,0,null,2,"contracts, subcontractors",4,0,0,null,null,"id:uuid, contract_id:uuid, file_name:text, file_path:text, file_size:integer, uploaded_at:timestamp with time zone, uploaded_by:uuid, subcontractor_id:uuid"
subcontractor_milestones,1,80 kB,12,4,1,accounting_invoices.milestone_id,1,contracts,1,0,0,null,null,"id:uuid, contract_id:uuid, milestone_number:integer, milestone_name:text, description:text, percentage:numeric, due_date:date, status:text, completed_date:date, paid_date:date, created_at:timestamp with time zone, updated_at:timestamp with time zone"
subcontractors,134,96 kB,10,4,6,"accounting_invoices.supplier_id, contracts.subcontractor_id, old_invoices.subcontractor_id, subcontractor_comments.subcontractor_id, subcontractor_documents.subcontractor_id, work_logs.subcontractor_id",2,"banks, investors",134,0,0,null,null,"id:uuid, name:text, contact:text, created_at:timestamp with time zone, financed_by_type:text, financed_by_investor_id:uuid, financed_by_bank_id:uuid, completed_at:timestamp with time zone, active_contracts_count:integer, notes:text"
task_assignees,5,72 kB,5,4,0,null,2,"tasks, users",5,0,0,null,null,"id:uuid, task_id:uuid, user_id:uuid, acknowledged_at:timestamp with time zone, created_at:timestamp with time zone"
task_attachments,0,24 kB,8,2,0,null,2,"tasks, users",0,0,0,null,null,"id:uuid, task_id:uuid, uploaded_by:uuid, storage_path:text, file_name:text, mime_type:text, size_bytes:bigint, created_at:timestamp with time zone"
task_comments,0,32 kB,6,3,0,null,1,users,0,0,0,null,null,"id:uuid, task_id:uuid, user_id:uuid, comment:text, created_at:timestamp with time zone, updated_at:timestamp with time zone"
task_reminder_sends,0,24 kB,4,3,0,null,1,tasks,0,0,0,null,null,"id:uuid, task_id:uuid, offset_min:integer, sent_at:timestamp with time zone"
tasks,3,96 kB,15,5,3,"task_assignees.task_id, task_attachments.task_id, task_reminder_sends.task_id",2,"projects, users",3,0,0,null,null,"id:uuid, title:text, description:text, created_by:uuid, due_date:date, due_time:time without time zone, status:text, priority:text, is_private:boolean, completed_at:timestamp with time zone, created_at:timestamp with time zone, updated_at:timestamp with time zone, project_id:uuid, reminder_offsets:ARRAY, description_format:text"
tic_cost_structures,8,112 kB,8,4,0,null,2,"projects, users",8,0,0,null,null,"id:uuid, investor_name:text, document_date:date, line_items:jsonb, created_at:timestamp with time zone, updated_at:timestamp with time zone, created_by:uuid, project_id:uuid"
users,17,80 kB,6,4,19,"activity_logs.user_id, ai_sessions.user_id, calendar_event_participants.user_id, calendar_events.created_by, calendar_notifications.user_id, calendar_occurrence_responses.user_id, calendar_reminder_sends.user_id, chat_conversations.created_by, chat_messages.sender_id, chat_participants.user_id, hidden_approved_invoices.hidden_by, project_managers.user_id, project_managers.assigned_by, subcontractor_comments.user_id, task_assignees.user_id, task_attachments.uploaded_by, task_comments.user_id, tasks.created_by, tic_cost_structures.created_by",0,null,17,1,0,null,null,"id:uuid, username:text, role:text, created_at:timestamp with time zone, auth_user_id:uuid, email:text"
work_logs,1,80 kB,14,4,0,null,4,"contracts, project_phases, projects, subcontractors",1,0,0,null,null,"id:uuid, subcontractor_id:uuid, date:date, work_description:text, notes:text, created_by:text, created_at:timestamp with time zone, contract_id:uuid, project_id:uuid, phase_id:uuid, status:text, blocker_details:text, updated_at:timestamp with time zone, color:text"
